week,state,state_name,disease,cases,incidence_per_capita
193801,AL,ALABAMA,PERTUSSIS,22,0.79
193801,AR,ARKANSAS,PERTUSSIS,22,1.14
193801,AZ,ARIZONA,PERTUSSIS,19,4.08
193801,CA,CALIFORNIA,PERTUSSIS,390,5.86
193801,CO,COLORADO,PERTUSSIS,10,0.9
193801,CT,CONNECTICUT,PERTUSSIS,49,2.91
193801,DC,DISTRICT OF COLUMBIA,PERTUSSIS,17,2.66
193801,DE,DELAWARE,PERTUSSIS,8,3.11
193801,FL,FLORIDA,PERTUSSIS,2,0.11
193801,GA,GEORGIA,PERTUSSIS,9,0.29
193801,IA,IOWA,PERTUSSIS,32,1.28
193801,ID,IDAHO,PERTUSSIS,32,6.24
193801,IL,ILLINOIS,PERTUSSIS,104,1.32
193801,IN,INDIANA,PERTUSSIS,23,0.68
193801,KS,KANSAS,PERTUSSIS,104,5.65
193801,KY,KENTUCKY,PERTUSSIS,90,3.21
193801,MA,MASSACHUSETTS,PERTUSSIS,180,4.12
193801,MD,MARYLAND,PERTUSSIS,55,3.11
193801,ME,MAINE,PERTUSSIS,131,15.54
193801,MI,MICHIGAN,PERTUSSIS,99,1.96
193801,MN,MINNESOTA,PERTUSSIS,66,2.4
193801,MO,MISSOURI,PERTUSSIS,48,1.27
193801,MT,MONTANA,PERTUSSIS,67,12.14
193801,NC,NORTH CAROLINA,PERTUSSIS,328,9.53
193801,ND,NORTH DAKOTA,PERTUSSIS,25,3.86
193801,NE,NEBRASKA,PERTUSSIS,16,1.21
193801,NH,NEW HAMPSHIRE,PERTUSSIS,6,1.24
193801,NJ,NEW JERSEY,PERTUSSIS,215,5.24
193801,NM,NEW MEXICO,PERTUSSIS,19,3.7
193801,NY,NEW YORK,PERTUSSIS,349,2.58
193801,OH,OHIO,PERTUSSIS,42,0.61
193801,OK,OKLAHOMA,PERTUSSIS,14,0.6
193801,OR,OREGON,PERTUSSIS,10,0.94
193801,PA,PENNSYLVANIA,PERTUSSIS,206,2.07
193801,RI,RHODE ISLAND,PERTUSSIS,36,5.19
193801,SC,SOUTH CAROLINA,PERTUSSIS,65,3.54
193801,SD,SOUTH DAKOTA,PERTUSSIS,19,2.93
193801,TN,TENNESSEE,PERTUSSIS,29,1.03
193801,TX,TEXAS,PERTUSSIS,140,2.22
193801,UT,UTAH,PERTUSSIS,20,3.74
193801,VA,VIRGINIA,PERTUSSIS,118,4.47
193801,VT,VERMONT,PERTUSSIS,50,14.04
193801,WA,WASHINGTON,PERTUSSIS,134,7.89
193801,WI,WISCONSIN,PERTUSSIS,121,3.91
193801,WV,WEST VIRGINIA,PERTUSSIS,72,3.94
193801,WY,WYOMING,PERTUSSIS,14,5.69
193802,AL,ALABAMA,PERTUSSIS,29,1.04
193802,AR,ARKANSAS,PERTUSSIS,48,2.49
193802,AZ,ARIZONA,PERTUSSIS,37,7.94
193802,CA,CALIFORNIA,PERTUSSIS,456,6.85
193802,CO,COLORADO,PERTUSSIS,5,0.45
193802,CT,CONNECTICUT,PERTUSSIS,39,2.32
193802,DC,DISTRICT OF COLUMBIA,PERTUSSIS,9,1.41
193802,DE,DELAWARE,PERTUSSIS,7,2.72
193802,FL,FLORIDA,PERTUSSIS,10,0.56
193802,GA,GEORGIA,PERTUSSIS,20,0.65
193802,IA,IOWA,PERTUSSIS,32,1.28
193802,ID,IDAHO,PERTUSSIS,11,2.14
193802,IL,ILLINOIS,PERTUSSIS,100,1.27
193802,IN,INDIANA,PERTUSSIS,36,1.06
193802,KS,KANSAS,PERTUSSIS,93,5.05
193802,KY,KENTUCKY,PERTUSSIS,14,0.5
193802,LA,LOUISIANA,PERTUSSIS,6,0.26
193802,MA,MASSACHUSETTS,PERTUSSIS,154,3.53
193802,MD,MARYLAND,PERTUSSIS,45,2.55
193802,ME,MAINE,PERTUSSIS,57,6.76
193802,MI,MICHIGAN,PERTUSSIS,184,3.64
193802,MN,MINNESOTA,PERTUSSIS,55,2
193802,MO,MISSOURI,PERTUSSIS,95,2.51
193802,MT,MONTANA,PERTUSSIS,32,5.8
193802,NC,NORTH CAROLINA,PERTUSSIS,324,9.42
193802,ND,NORTH DAKOTA,PERTUSSIS,14,2.16
193802,NE,NEBRASKA,PERTUSSIS,6,0.45
193802,NH,NEW HAMPSHIRE,PERTUSSIS,3,0.62
193802,NJ,NEW JERSEY,PERTUSSIS,150,3.66
193802,NM,NEW MEXICO,PERTUSSIS,60,11.7
193802,NY,NEW YORK,PERTUSSIS,330,2.44
193802,OH,OHIO,PERTUSSIS,144,2.11
193802,OK,OKLAHOMA,PERTUSSIS,12,0.52
193802,OR,OREGON,PERTUSSIS,13,1.22
193802,PA,PENNSYLVANIA,PERTUSSIS,362,3.64
193802,RI,RHODE ISLAND,PERTUSSIS,33,4.76
193802,SC,SOUTH CAROLINA,PERTUSSIS,49,2.67
193802,SD,SOUTH DAKOTA,PERTUSSIS,6,0.92
193802,TN,TENNESSEE,PERTUSSIS,26,0.92
