week,state,state_name,disease,cases,incidence_per_capita
192801,AL,ALABAMA,POLIO,0,0
192801,AR,ARKANSAS,POLIO,0,0
192801,AZ,ARIZONA,POLIO,0,0
192801,CA,CALIFORNIA,POLIO,9,0.17
192801,CO,COLORADO,POLIO,4,0.39
192801,CT,CONNECTICUT,POLIO,0,0
192801,DE,DELAWARE,POLIO,0,0
192801,FL,FLORIDA,POLIO,0,0
192801,GA,GEORGIA,POLIO,1,0.03
192801,IA,IOWA,POLIO,2,0.08
192801,ID,IDAHO,POLIO,0,0
192801,IL,ILLINOIS,POLIO,2,0.03
192801,IN,INDIANA,POLIO,1,0.03
192801,KS,KANSAS,POLIO,0,0
192801,KY,KENTUCKY,POLIO,0,0
192801,LA,LOUISIANA,POLIO,0,0
192801,MA,MASSACHUSETTS,POLIO,6,0.14
192801,MD,MARYLAND,POLIO,1,0.06
192801,ME,MAINE,POLIO,0,0
192801,MI,MICHIGAN,POLIO,2,0.04
192801,MN,MINNESOTA,POLIO,0,0
192801,MO,MISSOURI,POLIO,1,0.03
192801,MS,MISSISSIPPI,POLIO,0,0
192801,MT,MONTANA,POLIO,1,0.18
192801,NC,NORTH CAROLINA,POLIO,0,0
192801,NE,NEBRASKA,POLIO,1,0.07
192801,NJ,NEW JERSEY,POLIO,3,0.08
192801,NM,NEW MEXICO,POLIO,0,0
192801,NY,NEW YORK,POLIO,9,0.08
192801,OH,OHIO,POLIO,1,0.02
192801,OK,OKLAHOMA,POLIO,0,0
192801,OR,OREGON,POLIO,6,0.64
192801,PA,PENNSYLVANIA,POLIO,0,0
192801,RI,RHODE ISLAND,POLIO,0,0
192801,SC,SOUTH CAROLINA,POLIO,1,0.06
192801,SD,SOUTH DAKOTA,POLIO,0,0
192801,TN,TENNESSEE,POLIO,1,0.04
192801,TX,TEXAS,POLIO,3,0.05
192801,UT,UTAH,POLIO,0,0
192801,VT,VERMONT,POLIO,0,0
192801,WA,WASHINGTON,POLIO,4,0.26
192801,WI,WISCONSIN,POLIO,1,0.03
192801,WV,WEST VIRGINIA,POLIO,1,0.06
192801,WY,WYOMING,POLIO,0,0
192802,AL,ALABAMA,POLIO,0,0
192802,AR,ARKANSAS,POLIO,0,0
192802,AZ,ARIZONA,POLIO,0,0
192802,CA,CALIFORNIA,POLIO,8,0.15
192802,CO,COLORADO,POLIO,2,0.2
192802,CT,CONNECTICUT,POLIO,0,0
192802,DE,DELAWARE,POLIO,0,0
192802,FL,FLORIDA,POLIO,0,0
192802,GA,GEORGIA,POLIO,0,0
192802,ID,IDAHO,POLIO,0,0
192802,IL,ILLINOIS,POLIO,1,0.01
192802,IN,INDIANA,POLIO,1,0.03
192802,KS,KANSAS,POLIO,4,0.22
192802,KY,KENTUCKY,POLIO,0,0
192802,LA,LOUISIANA,POLIO,1,0.05
192802,MA,MASSACHUSETTS,POLIO,6,0.14
192802,MD,MARYLAND,POLIO,1,0.06
192802,ME,MAINE,POLIO,1,0.13
192802,MI,MICHIGAN,POLIO,2,0.04
192802,MN,MINNESOTA,POLIO,1,0.04
192802,MO,MISSOURI,POLIO,2,0.06
192802,MS,MISSISSIPPI,POLIO,0,0
192802,MT,MONTANA,POLIO,0,0
192802,NC,NORTH CAROLINA,POLIO,1,0.03
192802,ND,NORTH DAKOTA,POLIO,3,0.45
192802,NE,NEBRASKA,POLIO,1,0.07
