week,state,state_name,disease,cases,incidence_per_capita
196601,AL,ALABAMA,RUBELLA,7,0.2
196601,AZ,ARIZONA,RUBELLA,29,1.8
196601,CA,CALIFORNIA,RUBELLA,7,0.04
196601,CT,CONNECTICUT,RUBELLA,11,0.38
196601,HI,HAWAII,RUBELLA,1,0.14
196601,IA,IOWA,RUBELLA,6,0.22
196601,ID,IDAHO,RUBELLA,1,0.15
196601,IL,ILLINOIS,RUBELLA,17,0.16
196601,IN,INDIANA,RUBELLA,21,0.42
196601,KY,KENTUCKY,RUBELLA,14,0.44
196601,MA,MASSACHUSETTS,RUBELLA,10,0.18
196601,MD,MARYLAND,RUBELLA,6,0.16
196601,ME,MAINE,RUBELLA,4,0.4
196601,MI,MICHIGAN,RUBELLA,25,0.29
196601,MN,MINNESOTA,RUBELLA,2,0.06
196601,MO,MISSOURI,RUBELLA,1,0.02
196601,MT,MONTANA,RUBELLA,11,1.56
196601,ND,NORTH DAKOTA,RUBELLA,7,1.08
196601,NH,NEW HAMPSHIRE,RUBELLA,9,1.32
196601,OR,OREGON,RUBELLA,22,1.12
196601,PA,PENNSYLVANIA,RUBELLA,1,0.01
196601,RI,RHODE ISLAND,RUBELLA,6,0.67
196601,SC,SOUTH CAROLINA,RUBELLA,4,0.16
196601,TN,TENNESSEE,RUBELLA,23,0.6
196601,VA,VIRGINIA,RUBELLA,3,0.07
196601,VT,VERMONT,RUBELLA,2,0.48
196601,WA,WASHINGTON,RUBELLA,70,2.29
196601,WI,WISCONSIN,RUBELLA,40,0.94
196601,WV,WEST VIRGINIA,RUBELLA,23,1.3
196601,WY,WYOMING,RUBELLA,1,0.31
196602,AL,ALABAMA,RUBELLA,1,0.03
196602,AZ,ARIZONA,RUBELLA,53,3.28
196602,CA,CALIFORNIA,RUBELLA,43,0.23
196602,CO,COLORADO,RUBELLA,2,0.1
196602,CT,CONNECTICUT,RUBELLA,30,1.03
196602,HI,HAWAII,RUBELLA,4,0.56
196602,IA,IOWA,RUBELLA,34,1.23
196602,ID,IDAHO,RUBELLA,3,0.44
196602,IL,ILLINOIS,RUBELLA,81,0.75
196602,IN,INDIANA,RUBELLA,57,1.14
196602,KY,KENTUCKY,RUBELLA,17,0.54
196602,MA,MASSACHUSETTS,RUBELLA,20,0.36
196602,MD,MARYLAND,RUBELLA,5,0.14
196602,ME,MAINE,RUBELLA,8,0.8
196602,MI,MICHIGAN,RUBELLA,53,0.62
196602,MN,MINNESOTA,RUBELLA,7,0.19
196602,MO,MISSOURI,RUBELLA,2,0.04
196602,MT,MONTANA,RUBELLA,35,4.95
196602,ND,NORTH DAKOTA,RUBELLA,7,1.08
196602,NY,NEW YORK,RUBELLA,167,0.94
196602,OR,OREGON,RUBELLA,33,1.68
196602,RI,RHODE ISLAND,RUBELLA,3,0.33
196602,TN,TENNESSEE,RUBELLA,40,1.05
196602,UT,UTAH,RUBELLA,2,0.2
196602,VA,VIRGINIA,RUBELLA,5,0.11
196602,WA,WASHINGTON,RUBELLA,88,2.88
196602,WI,WISCONSIN,RUBELLA,122,2.85
196602,WV,WEST VIRGINIA,RUBELLA,8,0.45
196603,AL,ALABAMA,RUBELLA,1,0.03
196603,AZ,ARIZONA,RUBELLA,35,2.17
196603,CA,CALIFORNIA,RUBELLA,74,0.39
196603,CO,COLORADO,RUBELLA,16,0.8
196603,CT,CONNECTICUT,RUBELLA,39,1.34
196603,DE,DELAWARE,RUBELLA,1,0.19
196603,FL,FLORIDA,RUBELLA,16,0.26
196603,HI,HAWAII,RUBELLA,5,0.7
196603,IA,IOWA,RUBELLA,17,0.62
196603,IL,ILLINOIS,RUBELLA,46,0.42
196603,IN,INDIANA,RUBELLA,31,0.62
196603,KY,KENTUCKY,RUBELLA,42,1.33
196603,MA,MASSACHUSETTS,RUBELLA,20,0.36
196603,MD,MARYLAND,RUBELLA,1,0.03
196603,ME,MAINE,RUBELLA,7,0.7
196603,MI,MICHIGAN,RUBELLA,28,0.33
196603,MN,MINNESOTA,RUBELLA,3,0.08
196603,MT,MONTANA,RUBELLA,4,0.57
196603,ND,NORTH DAKOTA,RUBELLA,8,1.24
196603,NH,NEW HAMPSHIRE,RUBELLA,1,0.15
196603,NY,NEW YORK,RUBELLA,54,0.3
196603,OR,OREGON,RUBELLA,40,2.03
196603,PA,PENNSYLVANIA,RUBELLA,2,0.02
196603,RI,RHODE ISLAND,RUBELLA,19,2.11
196603,SC,SOUTH CAROLINA,RUBELLA,6,0.24
196603,TN,TENNESSEE,RUBELLA,45,1.18
196603,UT,UTAH,RUBELLA,2,0.2
196603,VA,VIRGINIA,RUBELLA,10,0.22
196603,VT,VERMONT,RUBELLA,27,6.54
196603,WA,WASHINGTON,RUBELLA,79,2.58
196603,WI,WISCONSIN,RUBELLA,130,3.04
196603,WV,WEST VIRGINIA,RUBELLA,14,0.79
196603,WY,WYOMING,RUBELLA,1,0.31
196604,AZ,ARIZONA,RUBELLA,37,2.29
196604,CA,CALIFORNIA,RUBELLA,73,0.39
196604,CO,COLORADO,RUBELLA,11,0.55
196604,CT,CONNECTICUT,RUBELLA,50,1.72
196604,DE,DELAWARE,RUBELLA,4,0.78
196604,FL,FLORIDA,RUBELLA,21,0.34
196604,HI,HAWAII,RUBELLA,1,0.14
196604,IA,IOWA,RUBELLA,32,1.16
