metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,value,unit,value_smoothed,description
Case,New Cases,Citywide,,Daily,2020-01-29,NA,1,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-01-30,NA,0,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-01-31,NA,0,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-02-01,NA,0,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-02-02,NA,0,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-02-03,NA,0,count,NA,NA
Case,New Cases,Citywide,,Daily,2020-02-04,NA,0,count,0.14,NA
Case,New Cases,Citywide,,Daily,2020-02-05,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-06,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-07,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-08,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-09,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-10,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-11,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-12,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-13,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-14,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-15,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-16,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-17,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-18,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-19,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-20,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-21,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-22,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-23,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-24,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-25,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-26,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-27,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-28,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-02-29,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-03-01,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-03-02,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-03-03,NA,0,count,0,NA
Case,New Cases,Citywide,,Daily,2020-03-04,NA,2,count,0.29,NA
Case,New Cases,Citywide,,Daily,2020-03-05,NA,1,count,0.43,NA
Case,New Cases,Citywide,,Daily,2020-03-06,NA,5,count,1.14,NA
Case,New Cases,Citywide,,Daily,2020-03-07,NA,8,count,2.29,NA
Case,New Cases,Citywide,,Daily,2020-03-08,NA,3,count,2.71,NA
Case,New Cases,Citywide,,Daily,2020-03-09,NA,0,count,2.71,NA
Case,New Cases,Citywide,,Daily,2020-03-10,NA,2,count,3,NA
Case,New Cases,Citywide,,Daily,2020-03-11,NA,4,count,3.29,NA
Case,New Cases,Citywide,,Daily,2020-03-12,NA,5,count,3.86,NA
Case,New Cases,Citywide,,Daily,2020-03-13,NA,10,count,4.57,NA
Case,New Cases,Citywide,,Daily,2020-03-14,NA,13,count,5.29,NA
Case,New Cases,Citywide,,Daily,2020-03-15,NA,14,count,6.86,NA
Case,New Cases,Citywide,,Daily,2020-03-16,NA,36,count,12,NA
Case,New Cases,Citywide,,Daily,2020-03-17,NA,46,count,18.29,NA
Case,New Cases,Citywide,,Daily,2020-03-18,NA,50,count,24.86,NA
Case,New Cases,Citywide,,Daily,2020-03-19,NA,48,count,31,NA
Case,New Cases,Citywide,,Daily,2020-03-20,NA,67,count,39.14,NA
Case,New Cases,Citywide,,Daily,2020-03-21,NA,48,count,44.14,NA
Case,New Cases,Citywide,,Daily,2020-03-22,NA,41,count,48,NA
Case,New Cases,Citywide,,Daily,2020-03-23,NA,90,count,55.71,NA
Case,New Cases,Citywide,,Daily,2020-03-24,NA,97,count,63,NA
Case,New Cases,Citywide,,Daily,2020-03-25,NA,117,count,72.57,NA
Case,New Cases,Citywide,,Daily,2020-03-26,NA,133,count,84.71,NA
Case,New Cases,Citywide,,Daily,2020-03-27,NA,135,count,94.43,NA
Case,New Cases,Citywide,,Daily,2020-03-28,NA,114,count,103.86,NA
Case,New Cases,Citywide,,Daily,2020-03-29,NA,76,count,108.86,NA
Case,New Cases,Citywide,,Daily,2020-03-30,NA,173,count,120.71,NA
Case,New Cases,Citywide,,Daily,2020-03-31,NA,203,count,135.86,NA
Case,New Cases,Citywide,,Daily,2020-04-01,NA,212,count,149.43,NA
Case,New Cases,Citywide,,Daily,2020-04-02,NA,227,count,162.86,NA
Case,New Cases,Citywide,,Daily,2020-04-03,NA,335,count,191.43,NA
Case,New Cases,Citywide,,Daily,2020-04-04,NA,153,count,197,NA
Case,New Cases,Citywide,,Daily,2020-04-05,NA,205,count,215.43,NA
Case,New Cases,Citywide,,Daily,2020-04-06,NA,316,count,235.86,NA
Case,New Cases,Citywide,,Daily,2020-04-07,NA,311,count,251.29,NA
Case,New Cases,Citywide,,Daily,2020-04-08,NA,297,count,263.43,NA
Case,New Cases,Citywide,,Daily,2020-04-09,NA,362,count,282.71,NA
Case,New Cases,Citywide,,Daily,2020-04-10,NA,313,count,279.57,NA
Case,New Cases,Citywide,,Daily,2020-04-11,NA,204,count,286.86,NA
Case,New Cases,Citywide,,Daily,2020-04-12,NA,154,count,279.57,NA
Case,New Cases,Citywide,,Daily,2020-04-13,NA,324,count,280.71,NA
Case,New Cases,Citywide,,Daily,2020-04-14,NA,356,count,287.14,NA
Case,New Cases,Citywide,,Daily,2020-04-15,NA,332,count,292.14,NA
Case,New Cases,Citywide,,Daily,2020-04-16,NA,306,count,284.14,NA
Case,New Cases,Citywide,,Daily,2020-04-17,NA,432,count,301.14,NA
Case,New Cases,Citywide,,Daily,2020-04-18,NA,209,count,301.86,NA
Case,New Cases,Citywide,,Daily,2020-04-19,NA,183,count,306,NA
Case,New Cases,Citywide,,Daily,2020-04-20,NA,405,count,317.57,NA
Case,New Cases,Citywide,,Daily,2020-04-21,NA,350,count,316.71,NA
Case,New Cases,Citywide,,Daily,2020-04-22,NA,385,count,324.29,NA
Case,New Cases,Citywide,,Daily,2020-04-23,NA,350,count,330.57,NA
Case,New Cases,Citywide,,Daily,2020-04-24,NA,392,count,324.86,NA
Case,New Cases,Citywide,,Daily,2020-04-25,NA,192,count,322.43,NA
Case,New Cases,Citywide,,Daily,2020-04-26,NA,120,count,313.43,NA
Case,New Cases,Citywide,,Daily,2020-04-27,NA,245,count,290.57,NA
Case,New Cases,Citywide,,Daily,2020-04-28,NA,259,count,277.57,NA
Case,New Cases,Citywide,,Daily,2020-04-29,NA,280,count,262.57,NA
Case,New Cases,Citywide,,Daily,2020-04-30,NA,266,count,250.57,NA
Case,New Cases,Citywide,,Daily,2020-05-01,NA,240,count,228.86,NA
Case,New Cases,Citywide,,Daily,2020-05-02,NA,113,count,217.57,NA
Case,New Cases,Citywide,,Daily,2020-05-03,NA,132,count,219.29,NA
Case,New Cases,Citywide,,Daily,2020-05-04,NA,211,count,214.43,NA
Case,New Cases,Citywide,,Daily,2020-05-05,NA,209,count,207.29,NA
