week,state,state_name,disease,cases,incidence_per_capita
196801,AK,ALASKA,MUMPS,7,2.46
196801,AL,ALABAMA,MUMPS,39,1.13
196801,AZ,ARIZONA,MUMPS,19,1.13
196801,CA,CALIFORNIA,MUMPS,247,1.27
196801,DC,DISTRICT OF COLUMBIA,MUMPS,1,0.13
196801,DE,DELAWARE,MUMPS,9,1.69
196801,FL,FLORIDA,MUMPS,36,0.56
196801,HI,HAWAII,MUMPS,13,1.77
196801,IA,IOWA,MUMPS,351,12.52
196801,ID,IDAHO,MUMPS,3,0.43
196801,IL,ILLINOIS,MUMPS,72,0.65
196801,IN,INDIANA,MUMPS,57,1.12
196801,KY,KENTUCKY,MUMPS,107,3.35
196801,MA,MASSACHUSETTS,MUMPS,212,3.77
196801,MD,MARYLAND,MUMPS,8,0.21
196801,ME,MAINE,MUMPS,25,2.52
196801,MI,MICHIGAN,MUMPS,176,2.02
196801,MN,MINNESOTA,MUMPS,2,0.05
196801,MO,MISSOURI,MUMPS,12,0.26
196801,MS,MISSISSIPPI,MUMPS,10,0.45
196801,MT,MONTANA,MUMPS,3,0.43
196801,ND,NORTH DAKOTA,MUMPS,37,5.96
196801,NE,NEBRASKA,MUMPS,15,1.02
196801,NJ,NEW JERSEY,MUMPS,195,2.78
196801,NM,NEW MEXICO,MUMPS,5,0.5
196801,OH,OHIO,MUMPS,152,1.45
196801,OK,OKLAHOMA,MUMPS,1,0.04
196801,OR,OREGON,MUMPS,15,0.75
196801,RI,RHODE ISLAND,MUMPS,80,8.68
196801,SC,SOUTH CAROLINA,MUMPS,4,0.16
196801,TN,TENNESSEE,MUMPS,17,0.44
196801,TX,TEXAS,MUMPS,81,0.75
196801,UT,UTAH,MUMPS,2,0.19
196801,VA,VIRGINIA,MUMPS,22,0.48
196801,VT,VERMONT,MUMPS,77,17.91
196801,WA,WASHINGTON,MUMPS,234,7.16
196801,WV,WEST VIRGINIA,MUMPS,129,7.32
196801,WY,WYOMING,MUMPS,23,7.1
196802,AK,ALASKA,MUMPS,7,2.46
196802,AL,ALABAMA,MUMPS,14,0.41
196802,AZ,ARIZONA,MUMPS,38,2.26
196802,CA,CALIFORNIA,MUMPS,480,2.47
196802,CT,CONNECTICUT,MUMPS,144,4.86
196802,DC,DISTRICT OF COLUMBIA,MUMPS,15,1.93
196802,DE,DELAWARE,MUMPS,1,0.19
196802,FL,FLORIDA,MUMPS,30,0.47
196802,HI,HAWAII,MUMPS,49,6.68
196802,ID,IDAHO,MUMPS,31,4.46
