week,state,state_name,disease,cases,incidence_per_capita
192801,AL,ALABAMA,SMALLPOX,1,0.04
192801,AR,ARKANSAS,SMALLPOX,7,0.38
192801,AZ,ARIZONA,SMALLPOX,0,0
192801,CA,CALIFORNIA,SMALLPOX,18,0.34
192801,CO,COLORADO,SMALLPOX,31,3.06
192801,CT,CONNECTICUT,SMALLPOX,26,1.65
192801,DE,DELAWARE,SMALLPOX,0,0
192801,FL,FLORIDA,SMALLPOX,1,0.07
192801,GA,GEORGIA,SMALLPOX,0,0
192801,IA,IOWA,SMALLPOX,58,2.37
192801,ID,IDAHO,SMALLPOX,4,0.89
192801,IL,ILLINOIS,SMALLPOX,30,0.4
192801,IN,INDIANA,SMALLPOX,133,4.14
192801,KS,KANSAS,SMALLPOX,73,3.95
192801,KY,KENTUCKY,SMALLPOX,16,0.62
192801,LA,LOUISIANA,SMALLPOX,10,0.48
192801,MA,MASSACHUSETTS,SMALLPOX,0,0
192801,MD,MARYLAND,SMALLPOX,0,0
192801,ME,MAINE,SMALLPOX,0,0
192801,MI,MICHIGAN,SMALLPOX,17,0.36
192801,MN,MINNESOTA,SMALLPOX,2,0.08
192801,MO,MISSOURI,SMALLPOX,38,1.06
192801,MS,MISSISSIPPI,SMALLPOX,1,0.05
192801,MT,MONTANA,SMALLPOX,36,6.65
192801,NC,NORTH CAROLINA,SMALLPOX,63,2.04
192801,NE,NEBRASKA,SMALLPOX,12,0.88
192801,NJ,NEW JERSEY,SMALLPOX,3,0.08
192801,NM,NEW MEXICO,SMALLPOX,1,0.24
192801,NY,NEW YORK,SMALLPOX,4,0.03
192801,OH,OHIO,SMALLPOX,19,0.29
192801,OK,OKLAHOMA,SMALLPOX,108,4.61
192801,OR,OREGON,SMALLPOX,32,3.42
192801,PA,PENNSYLVANIA,SMALLPOX,1,0.01
192801,RI,RHODE ISLAND,SMALLPOX,0,0
192801,SC,SOUTH CAROLINA,SMALLPOX,19,1.09
192801,SD,SOUTH DAKOTA,SMALLPOX,6,0.88
192801,TN,TENNESSEE,SMALLPOX,5,0.19
192801,TX,TEXAS,SMALLPOX,29,0.51
192801,UT,UTAH,SMALLPOX,19,3.77
192801,VT,VERMONT,SMALLPOX,0,0
192801,WA,WASHINGTON,SMALLPOX,31,2
192801,WI,WISCONSIN,SMALLPOX,27,0.92
192801,WV,WEST VIRGINIA,SMALLPOX,11,0.65
192801,WY,WYOMING,SMALLPOX,5,2.27
192802,AL,ALABAMA,SMALLPOX,4,0.15
192802,AR,ARKANSAS,SMALLPOX,9,0.49
192802,AZ,ARIZONA,SMALLPOX,0,0
192802,CA,CALIFORNIA,SMALLPOX,22,0.41
192802,CO,COLORADO,SMALLPOX,18,1.78
192802,CT,CONNECTICUT,SMALLPOX,53,3.36
192802,DE,DELAWARE,SMALLPOX,0,0
192802,FL,FLORIDA,SMALLPOX,10,0.7
192802,GA,GEORGIA,SMALLPOX,0,0
192802,ID,IDAHO,SMALLPOX,11,2.45
192802,IL,ILLINOIS,SMALLPOX,25,0.33
192802,IN,INDIANA,SMALLPOX,125,3.89
192802,KS,KANSAS,SMALLPOX,125,6.76
192802,KY,KENTUCKY,SMALLPOX,27,1.05
192802,LA,LOUISIANA,SMALLPOX,11,0.53
192802,MA,MASSACHUSETTS,SMALLPOX,0,0
192802,MD,MARYLAND,SMALLPOX,0,0
192802,ME,MAINE,SMALLPOX,0,0
192802,MI,MICHIGAN,SMALLPOX,49,1.05
192802,MN,MINNESOTA,SMALLPOX,3,0.12
192802,MO,MISSOURI,SMALLPOX,51,1.42
192802,MS,MISSISSIPPI,SMALLPOX,7,0.35
192802,MT,MONTANA,SMALLPOX,27,4.99
192802,NC,NORTH CAROLINA,SMALLPOX,106,3.44
192802,ND,NORTH DAKOTA,SMALLPOX,6,0.9
192802,NE,NEBRASKA,SMALLPOX,44,3.21
192802,NJ,NEW JERSEY,SMALLPOX,0,0
192802,NM,NEW MEXICO,SMALLPOX,0,0
192802,NY,NEW YORK,SMALLPOX,18,0.16
192802,OK,OKLAHOMA,SMALLPOX,201,8.58
192802,OR,OREGON,SMALLPOX,49,5.24
192802,PA,PENNSYLVANIA,SMALLPOX,0,0
192802,RI,RHODE ISLAND,SMALLPOX,0,0
192802,SC,SOUTH CAROLINA,SMALLPOX,33,1.9
192802,SD,SOUTH DAKOTA,SMALLPOX,7,1.02
192802,TN,TENNESSEE,SMALLPOX,28,1.07
192802,TX,TEXAS,SMALLPOX,78,1.37
192802,UT,UTAH,SMALLPOX,33,6.55
192802,VT,VERMONT,SMALLPOX,0,0
192802,WA,WASHINGTON,SMALLPOX,70,4.51
192802,WI,WISCONSIN,SMALLPOX,27,0.92
192802,WV,WEST VIRGINIA,SMALLPOX,17,1
192802,WY,WYOMING,SMALLPOX,18,8.18
192803,AL,ALABAMA,SMALLPOX,8,0.3
192803,AR,ARKANSAS,SMALLPOX,14,0.76
192803,AZ,ARIZONA,SMALLPOX,0,0
192803,CA,CALIFORNIA,SMALLPOX,30,0.56
192803,CO,COLORADO,SMALLPOX,23,2.27
192803,CT,CONNECTICUT,SMALLPOX,20,1.27
192803,DE,DELAWARE,SMALLPOX,0,0
192803,FL,FLORIDA,SMALLPOX,7,0.49
192803,ID,IDAHO,SMALLPOX,3,0.67
192803,IL,ILLINOIS,SMALLPOX,27,0.36
192803,IN,INDIANA,SMALLPOX,120,3.74
192803,KS,KANSAS,SMALLPOX,74,4
192803,KY,KENTUCKY,SMALLPOX,28,1.09
192803,LA,LOUISIANA,SMALLPOX,20,0.97
192803,MA,MASSACHUSETTS,SMALLPOX,3,0.07
192803,MD,MARYLAND,SMALLPOX,0,0
192803,ME,MAINE,SMALLPOX,0,0
192803,MI,MICHIGAN,SMALLPOX,58,1.24
192803,MN,MINNESOTA,SMALLPOX,2,0.08
192803,MO,MISSOURI,SMALLPOX,51,1.42
192803,MS,MISSISSIPPI,SMALLPOX,15,0.76
192803,MT,MONTANA,SMALLPOX,32,5.91
192803,NC,NORTH CAROLINA,SMALLPOX,175,5.68
192803,ND,NORTH DAKOTA,SMALLPOX,5,0.75
192803,NE,NEBRASKA,SMALLPOX,37,2.7
192803,NJ,NEW JERSEY,SMALLPOX,0,0
192803,NM,NEW MEXICO,SMALLPOX,1,0.24
192803,NY,NEW YORK,SMALLPOX,9,0.08
192803,OH,OHIO,SMALLPOX,17,0.26
